Participant ID,Part 1 Typng Speed,Part 1 Typing Accuracy,Part 2 Typng Speed,Part 2 Typng Accuracy,Start time,Part 1 Start Time,Part 2 Start Time
05,18.37984457669301,65.71428571428571,21.388718821014958,60.56603773584905,2023-11-03 15:33:50,2023-11-03 15:36:21,2023-11-03 16:01:42
,WPM(word per minute),,WPM,,,,
